City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
423,Inongo,CD,78.22,light rain,-1.95,18.27,Hotel Du Lac
424,Moree,AU,62.6,broken clouds,-29.47,149.85,Molika Springs Motel
425,Ishigaki,JP,79.02,moderate rain,24.34,124.16,Hotel Peace Land Ishigakijima
426,Miri,MY,77.0,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
430,Kirakira,SB,79.48,overcast clouds,-10.45,161.92,SanBiz Lodge
436,Viadana,IT,66.2,few clouds,44.93,10.53,Hotel Europa
442,Iberia,US,77.0,scattered clouds,29.95,-91.75,back to back rv park
443,Alice Town,BS,79.74,light rain,25.72,-79.3,Bimini Big Game Club Resort & Marina
446,Morondava,MG,78.64,few clouds,-20.28,44.28,La Case Bambou
448,Lenti,HU,64.4,overcast clouds,46.62,16.54,Pearl of Gosztola Wellness Hotel
449,Mildura,AU,62.6,scattered clouds,-34.2,142.15,Mercure Hotel Mildura
450,Langenhagen,DE,63.0,overcast clouds,52.45,9.75,Hotel Ambiente Langenhagen Hannover by Tulip Inn
453,Canar,EC,64.4,broken clouds,-2.55,-78.93,Hostería La Condesa
454,Poum,NC,74.43,clear sky,-20.23,164.02,Gîte kajeon
456,Viedma,AR,68.05,broken clouds,-40.81,-63.0,Hotel Cristal
460,San Jose,US,69.01,few clouds,37.34,-121.89,The Westin San Jose
483,Atambua,ID,74.5,clear sky,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
487,Meadow Lake,US,64.0,clear sky,34.8,-106.54,JKL Inc. R.V Park and Storage
498,Kalaleh,IR,69.8,overcast clouds,37.38,55.49,عطر و ادکلن پارسیس
509,Meulaboh,ID,79.36,moderate rain,4.14,96.13,Kost Pria
513,Huarmey,PE,70.0,clear sky,-10.07,-78.15,Hotel Miramar
516,Del Rio,US,75.2,broken clouds,29.36,-100.9,Holiday Inn Express & Suites del Rio
517,Ranong,TH,79.25,overcast clouds,9.97,98.63,Tinidee Hotel@Ranong
519,Bafia,CM,76.08,moderate rain,4.75,11.23,Ets MAISON BLANCHE
520,Bandar-E Lengeh,IR,78.8,clear sky,26.56,54.88,کافی نت پارس
525,Grand Gaube,MU,75.99,few clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
526,Paungde,MM,72.88,overcast clouds,18.48,95.5,Shwe Eain Matt highly cool guest house
527,Gorontalo,ID,74.19,scattered clouds,0.54,123.06,Maqna Hotel by Prasanthi
534,Bundaberg,AU,70.0,scattered clouds,-24.85,152.35,Takalvan Motel
535,Dumabato,PH,74.1,moderate rain,16.32,121.7,JBT MOUNTAIN VIEW RECREATIONAL PLACE
542,Marsaxlokk,MT,71.01,clear sky,35.84,14.54,Water's Edge
544,Aliwal North,ZA,79.29,scattered clouds,-30.69,26.71,Queens Terrace B&B
545,Ambulu,ID,77.13,overcast clouds,-8.35,113.61,Hotel Ambulu Jember
551,Cao Bang,VN,63.21,clear sky,22.67,106.25,khách sạn 88
553,Candolim,IN,77.0,mist,15.52,73.76,Resort Terra Paraiso
555,Half Moon Bay,US,61.0,mist,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
558,Roebourne,AU,70.74,light rain,-20.78,117.13,Harding River Caravan Park
562,Nanzhang,CN,60.85,light rain,31.78,111.84,Longmenkezhan
