City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
299,Lorengau,PG,-2.02,147.27,81.48,75,97,4.47,moderate rain
300,Tromso,NO,69.65,18.96,30.2,63,0,25.28,clear sky
301,Cochrane,CA,51.18,-114.47,23,92,90,11.41,overcast clouds
302,Wad Madani,SD,14.4,33.52,93.29,16,0,6.89,clear sky
303,Kalmunai,LK,7.42,81.82,82.24,77,15,5.57,few clouds
304,Havelock,US,34.88,-76.9,79,74,75,6.93,broken clouds
305,Abha,SA,18.22,42.51,73.4,15,0,9.17,clear sky
306,Gat,IL,31.61,34.76,79,65,20,16.11,few clouds
307,Rendsburg,DE,54.3,9.67,55.99,93,75,9.17,broken clouds
308,Bedele,ET,8.46,36.35,58.33,87,87,1.45,overcast clouds
309,Minuri,PH,16.54,121.86,75.25,88,80,4.52,moderate rain
310,Charters Towers,AU,-20.1,146.27,67.82,90,3,9.8,clear sky
311,Luderitz,NA,-26.65,15.16,77.14,28,0,18.19,clear sky
312,Vostok,RU,46.49,135.88,40.69,96,100,6.17,overcast clouds
313,Mindelo,CV,16.89,-24.98,91.4,55,75,28.86,broken clouds
314,Boddam,GB,57.47,-1.78,55.4,87,20,5.82,few clouds
315,Marawi,PH,8,124.29,79,87,100,1.99,moderate rain
316,Lohja,FI,60.25,24.07,44.01,100,100,8.01,overcast clouds
317,Suriapet,IN,17.15,79.62,77.25,83,100,7.58,light rain
318,Talara,PE,-4.58,-81.27,75.2,69,66,12.75,broken clouds
319,Gornopravdinsk,RU,60.05,69.9,30.97,98,100,2.86,overcast clouds
320,Changli,CN,39.7,119.15,45.88,45,0,7.54,clear sky
321,Maniitsoq,GL,65.42,-52.9,32.52,92,99,9.48,overcast clouds
322,Tessalit,ML,20.2,1.01,99.63,9,0,6.87,clear sky
323,Salalah,OM,17.02,54.09,84.2,79,8,4.7,clear sky
324,Los Llanos De Aridane,ES,28.66,-17.92,75.2,64,75,5.82,broken clouds
325,Darab,IR,28.75,54.54,60.84,28,0,1.97,clear sky
326,Mount Isa,AU,-20.73,139.5,78.8,29,77,4.7,broken clouds
327,Tirumullaivasal,IN,11.23,79.83,80.11,84,100,9.66,light rain
328,The Valley,AI,18.22,-63.06,86,74,20,9.17,few clouds
329,Sao Filipe,CV,14.9,-24.5,84.79,62,0,2.37,clear sky
330,Bowen,AU,-20.02,148.23,64.4,93,40,3.36,scattered clouds
331,Jijiga,ET,9.35,42.8,71.15,27,47,11.92,scattered clouds
332,Tecoanapa,MX,16.52,-98.75,84.11,69,100,5.1,overcast clouds
333,Pskov,RU,57.81,28.35,42.8,93,90,4.47,mist
334,Aquiraz,BR,-3.9,-38.39,87.8,62,40,14.99,scattered clouds
335,Lokoja,NG,7.8,6.74,89.42,60,15,3.76,few clouds
336,Komsomolskiy,UZ,40.43,71.72,57.2,41,0,6.93,clear sky
337,Manaure,CO,11.78,-72.44,88.43,61,8,6.02,clear sky
338,Iqaluit,CA,63.75,-68.51,32,94,75,5.82,broken clouds
339,Yarkovo,RU,57.4,67.08,35.78,85,97,7.16,overcast clouds
340,Chuy,UY,-33.7,-53.46,62.96,63,46,15.14,scattered clouds
341,Vestmannaeyjar,IS,63.44,-20.27,39.2,80,75,19.46,broken clouds
342,Kiama,AU,-34.68,150.87,61,86,100,1.01,overcast clouds
343,Bathsheba,BB,13.22,-59.52,89.6,62,20,11.41,few clouds
344,Novyy Buh,UA,47.69,32.52,57.2,54,93,13.42,overcast clouds
345,Tukrah,LY,32.53,20.58,70.11,50,57,9.51,broken clouds
346,Winchester,GB,51.07,-1.32,60.8,87,20,9.17,few clouds
347,Northam,GB,51.03,-4.22,57.99,96,100,1.01,light rain
348,Otane,NZ,-39.88,176.63,51.01,83,30,2.24,scattered clouds
349,Hasaki,JP,35.73,140.83,57.2,87,75,10.29,broken clouds
350,Ilula,TZ,-7.68,36.04,69.62,58,8,9.86,clear sky
351,Vao,NC,-22.67,167.48,73.26,83,20,14.88,few clouds
352,North Platte,US,41.12,-100.77,45,81,1,9.17,clear sky
353,Great Falls,US,47.5,-111.3,34,92,90,4.7,fog
354,Slave Lake,CA,55.28,-114.77,23,79,90,14.99,overcast clouds
355,Yar-Sale,RU,66.83,70.83,21.16,97,96,11.5,overcast clouds
356,Srednekolymsk,RU,67.45,153.68,13.57,93,0,4.68,clear sky
357,Touros,BR,-5.2,-35.46,82.4,78,75,11.41,shower rain
358,Amga,RU,60.9,131.96,17.98,97,100,2.01,overcast clouds
359,Isangel,VU,-19.55,169.27,75.2,88,75,9.17,broken clouds
360,Iquique,CL,-20.22,-70.14,68,56,75,14.99,broken clouds
361,Eshowe,ZA,-28.89,31.47,61.14,88,79,5.32,broken clouds
362,Qaqortoq,GL,60.72,-46.03,32,93,90,3.67,light snow
363,Zempoala,MX,19.45,-96.42,82,78,5,0.31,clear sky
364,Konstantinovka,RU,49.62,127.98,42.46,74,73,11.45,broken clouds
365,Wysokie Mazowieckie,PL,52.92,22.52,52,84,100,8.1,light rain
366,Novikovo,RU,51.15,37.89,43.84,63,100,4.85,light rain
367,Shingu,JP,33.73,135.98,61.79,86,74,10.29,broken clouds
368,Fuzhou,CN,26.06,119.31,71.6,73,75,22.37,light rain
